time,alt,vz,vx,vy,az,pre,servo,ax,ay,axr,ayr,azr,gxr,gyr,gzr,target,altr,baro,temp,state,samples
0,0.0,0.08771334,-0.002494303,0.011077398,35.119675,0.0,0.0,-0.20265347,3.3426652,-0.58198977,-0.14370117,45.05032,0.00958738,0.004261058,-0.010652645,0.0,0.0,101488.836,36.55,2,1
11,-0.05963857,0.5471874,-0.008265853,0.05147804,41.781033,0.0,0.0,-1.014436,0.05696273,-1.4513818,-3.930227,51.43065,0.00958738,0.0053263223,-0.04580637,0.0,-0.05963857,101489.516,36.55,2,47
22,-0.05963857,1.0992074,-0.029430412,0.04170954,53.05803,0.0,0.0,-2.0301738,0.45000935,-2.5578809,-4.390071,62.696823,0.04261058,-0.0053263223,0.1257012,0.0,-0.05963857,101489.516,36.55,2,48
33,-0.05963857,1.7013181,-0.04098295,0.107931405,55.456104,0.0,0.0,1.1523438,11.528768,0.61073,6.4809227,65.96603,-0.046871636,0.039414786,0.6530071,0.0,-0.05963857,101489.516,36.55,2,48
44,-0.05963857,2.3118749,-0.04568648,0.18346325,56.549007,0.0,0.0,0.43339851,5.4635468,-0.17244141,0.2945874,66.58394,-0.101200126,0.080960095,1.0769824,0.0,-0.05963857,101489.516,36.55,2,47
55,-0.05963857,2.9508557,-0.061665177,0.18987812,57.632534,0.0,0.0,-2.5433836,2.989418,-3.2835717,-2.2561085,67.43896,-0.1257012,0.084155895,1.3912354,0.0,-0.05963857,101489.516,36.55,2,47
65,-0.05963857,3.5790417,-0.08354584,0.2330039,57.299946,0.0,0.0,-0.6585869,3.540456,-1.4513818,-1.8250049,67.16593,-0.17789917,0.02876214,1.7779263,0.0,-0.05963857,101489.516,36.55,2,46
77,-0.05963857,4.2394695,-0.09625373,0.30980086,61.414036,0.0,0.0,-2.0189352,4.2094884,-2.8596532,-1.4585669,71.30452,-0.03089267,-0.02876214,2.461826,0.0,-0.05963857,101489.516,36.55,2,47
88,-0.05963857,4.919584,-0.10350404,0.36597493,60.90053,0.0,0.0,-0.43291634,7.0953193,-1.0346484,1.3795313,71.04586,0.053263225,0.033023197,2.6887274,0.0,-0.05963857,101489.516,36.55,2,47
99,-0.059637316,5.600367,-0.10899043,0.3981484,62.561634,0.0,0.0,-2.0963645,4.129358,-3.1039453,-1.3867164,72.43976,0.10226539,0.11824436,2.7643614,0.0,-0.05963857,101489.516,36.55,2,44
109,-0.038074892,6.2716703,-0.12593374,0.45465988,60.860073,0.0,0.0,-2.6001039,6.7532597,-3.290757,1.595083,70.94527,0.113983296,0.10546118,2.9049761,0.0,0.0,101488.836,36.55,2,45
120,-0.03905291,6.946053,-0.12833737,0.51559126,62.194805,0.0,0.0,0.46277845,3.2714658,-0.9556128,-2.2992187,72.0374,0.10439592,0.017044231,3.2075112,0.0,-0.05963857,101489.516,36.55,2,44
132,-0.019410778,7.6358695,-0.13778768,0.5717197,62.501278,0.0,0.0,3.1068816,7.624637,2.5435107,1.4226416,72.71998,0.08522116,-0.09161274,3.6879456,0.0,0.0,101488.836,36.55,2,46
143,0.0021228245,8.334545,-0.13572796,0.64180845,64.16036,0.0,0.0,-1.6563661,9.454745,-1.4944922,4.296665,74.45158,0.08841695,-0.04261058,3.842409,0.0,0.0,101488.836,36.55,2,46
154,0.021059487,9.052927,-0.14354542,0.6957638,66.47243,0.0,0.0,-6.4475946,-2.503366,-9.570498,-5.604346,75.788,0.08522116,-0.049002163,3.8701057,0.0,0.0,101488.836,36.55,2,46
164,0.05151935,9.752875,-0.17272413,0.7713706,64.84773,0.0,0.0,-5.821961,8.175211,-5.4319043,4.742139,74.98327,0.066046394,-0.007456851,3.818973,0.0,0.062478505,101488.164,36.55,2,44
176,0.08654528,10.493677,-0.12861173,0.8582371,65.52627,0.0,0.0,-3.5927627,3.5297542,-5.043911,-0.21555176,75.33534,-0.051132694,0.12357068,3.7806234,0.0,0.062478505,101488.164,36.55,2,44
187,0.12284773,11.196654,-0.10851034,0.9165339,62.359585,0.0,0.0,23.871723,-22.416674,8.780142,-35.019978,70.550095,-0.10546118,0.30679616,3.9159122,0.0,0.11927714,101487.49,36.55,2,44
