time,alt,vz,vx,vy,az,pre,servo,ax,ay,axr,ayr,azr,gxr,gyr,gzr,target,altr,baro,temp,state,samples
0,-0.05700038,0.069527574,-0.0015129363,-0.0018603322,30.023508,0.0,0.0,0.017598897,0.60967803,-0.4023633,0.86220706,39.82678,0.0031957934,0.007456851,0.015978966,0.0,-0.05700038,101964.875,22.85,2,1
11,-0.111286454,0.69216144,0.006341721,-0.017862359,64.91975,0.0,0.0,2.4240565,-0.5285209,1.6166382,-0.05748047,74.75335,-0.007456851,0.039414786,0.082025364,0.0,-0.111286454,101965.53,22.85,2,47
21,-0.111286454,1.4865044,0.003631854,-0.024701642,80.153725,0.0,0.0,-1.5732143,-0.85446703,-2.6225464,-0.32332763,89.942566,-0.101200126,0.06711166,0.6327671,0.0,-0.111286454,101965.53,22.85,2,47
33,-0.111286454,2.479971,-0.015041877,-0.15507367,95.43852,0.0,0.0,-3.0472002,-7.3880024,-4.4331813,-6.8976564,105.23237,-0.24074976,0.06178534,1.0535465,0.0,-0.111286454,101965.53,22.85,2,48
44,-0.16828683,3.5878525,-0.023966657,-0.13853969,102.60437,0.0,0.0,0.6986725,-4.4747033,-0.8693921,-4.3613305,112.41743,-0.30679616,0.0479369,1.1089402,0.0,-0.16828683,101966.195,22.85,2,47
55,-0.16828683,4.7213545,0.015236746,-0.10242465,103.986015,0.0,0.0,5.365208,14.527636,4.4259963,14.212046,113.87599,-0.14594123,-0.041545313,0.9129316,0.0,-0.16828683,101966.195,22.85,2,47
65,-0.16828683,5.8550234,-0.014991461,-0.088573955,104.41162,0.0,0.0,-3.75987,-3.452376,-5.388794,-3.67875,114.149025,-0.32277513,0.03089267,1.0098706,0.0,-0.16828683,101966.195,22.85,2,47
77,-0.111286454,7.0415425,-0.009628026,-0.14395598,110.93374,0.0,0.0,-4.51349,-2.801819,-6.3444066,-3.4488282,120.64432,-0.2066613,0.066046394,1.788579,0.0,-0.111286454,101965.53,22.85,2,47
88,-0.111750916,8.274465,-0.006038679,-0.13824219,112.22075,0.0,0.0,3.0065117,-7.7345715,0.59635985,-8.880733,121.98792,0.23435818,-0.010652645,2.0421119,0.0,-0.111286454,101965.53,22.85,2,46
99,-0.11154721,9.512102,0.00055725017,-0.17613953,112.629456,0.0,0.0,1.8657047,-7.327385,-0.6753955,-7.961045,122.41184,0.35260254,-0.00958738,2.026133,0.0,-0.111286454,101965.53,22.85,2,44
